(chess-engine) henry@fedora:~/Desktop/code/chess-engine$ python train_unified.py     --resume-from ./checkpoints/phase1/checkpoint_step_90000.pt     --dataset-type action_value     --dataset-path ./searchless_chess/data/train     --batch-size 64     --total-steps 200000     --learning-rate 3e-4     --warmup-steps 5000     --d-model 512 --n-layers 12 --n-heads 8 --d-ff 2048     --dropout 0.1 --drop-path 0.1     --grad-accum-steps 2     --grad-clip 1.0     --output-dir ./checkpoints/phase1 --log-interval 50 --precision fp32
[startup] cuda_count=1 precision=fp32 rank=0 world=1 local_rank=0 device=cuda:0 amp=off
Resumed from ./checkpoints/phase1/checkpoint_step_90000.pt at step 90000
Step 90050/200000, lr=1.798855e-04, loss=3.8973, time=22.4s
Step 90100/200000, lr=1.797670e-04, loss=3.8866, time=19.3s
Step 90150/200000, lr=1.796486e-04, loss=3.8558, time=19.3s
Step 90200/200000, lr=1.795301e-04, loss=3.8505, time=19.3s
Step 90250/200000, lr=1.794117e-04, loss=3.7515, time=19.3s
Step 90300/200000, lr=1.792932e-04, loss=3.7563, time=19.3s
Step 90350/200000, lr=1.791747e-04, loss=3.8487, time=19.3s
Step 90400/200000, lr=1.790561e-04, loss=3.9476, time=19.3s
Step 90450/200000, lr=1.789376e-04, loss=3.7500, time=19.3s
Step 90500/200000, lr=1.788190e-04, loss=3.7813, time=19.3s
Step 90550/200000, lr=1.787004e-04, loss=3.8165, time=19.3s
Step 90600/200000, lr=1.785818e-04, loss=3.7639, time=19.3s
Step 90650/200000, lr=1.784632e-04, loss=3.8225, time=19.3s
Step 90700/200000, lr=1.783445e-04, loss=3.7573, time=19.3s
Step 90750/200000, lr=1.782259e-04, loss=3.7342, time=19.3s
Step 90800/200000, lr=1.781072e-04, loss=3.9160, time=19.3s
Step 90850/200000, lr=1.779885e-04, loss=3.7949, time=19.3s
Step 90900/200000, lr=1.778698e-04, loss=3.8241, time=19.3s
Step 90950/200000, lr=1.777510e-04, loss=3.7842, time=19.3s
Step 91000/200000, lr=1.776323e-04, loss=3.8332, time=19.3s
Step 91050/200000, lr=1.775135e-04, loss=3.8282, time=19.3s
Step 91100/200000, lr=1.773947e-04, loss=3.8323, time=19.3s
Step 91150/200000, lr=1.772759e-04, loss=3.7429, time=19.3s
Step 91200/200000, lr=1.771571e-04, loss=3.8816, time=19.3s
